category,subCategory,detailCategoryFull,detailCategory,detailCategory2,compositeKeyOmnix,compositeKey,fcrNonSatuan,escToSatuan,fcrNonMassal,escToMassal,isFcr,product
Informasi,INDIHOME IPTV,Informasi|INDIHOME IPTV|Status IH ID IPTV,Status IH ID IPTV,,Informasi|INDIHOME IPTV|Status IH ID IPTV,INDIHOME IPTV|Status IH ID IPTV,FCR,CES,FCR,CES,true,SOLUTION
Informasi,INDIHOME IPTV,Informasi|INDIHOME IPTV|Status Channel IPTV,Status Channel IPTV,,Informasi|INDIHOME IPTV|Status Channel IPTV,INDIHOME IPTV|Status Channel IPTV,FCR,IT SLCS,FCR,IT SLCS,true,SOLUTION
Informasi,INDIHOME IPTV,Informasi|INDIHOME IPTV|Status Layanan IPTV,Status Layanan IPTV,,Informasi|INDIHOME IPTV|Status Layanan IPTV,INDIHOME IPTV|Status Layanan IPTV,FCR,IT SLCS,FCR,IT SLCS,true,SOLUTION
Informasi,INDIHOME IPTV,Informasi|INDIHOME IPTV|Info User & Password IPTV,Info User & Password IPTV,,Informasi|INDIHOME IPTV|Info User & Password IPTV,INDIHOME IPTV|Info User & Password IPTV,FCR,IT SLCS,FCR,IT SLCS,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Open Channel TV,Open Channel TV,,Permintaan|INDIHOME IPTV|Open Channel TV,INDIHOME IPTV|Open Channel TV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Block Channel TV,Block Channel TV,,Permintaan|INDIHOME IPTV|Block Channel TV,INDIHOME IPTV|Block Channel TV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Open Block IHid IPTV,Open Block IHid IPTV,,Permintaan|INDIHOME IPTV|Open Block IHid IPTV,INDIHOME IPTV|Open Block IHid IPTV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Tambah Layanan IPTV,Tambah Layanan IPTV,,Permintaan|INDIHOME IPTV|Tambah Layanan IPTV,INDIHOME IPTV|Tambah Layanan IPTV,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Upgrade Paket IndiHome,Upgrade Paket IndiHome,,Permintaan|INDIHOME IPTV|Upgrade Paket IndiHome,INDIHOME IPTV|Upgrade Paket IndiHome,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
Permintaan,INDIHOME IPTV,Permintaan|INDIHOME IPTV|Ganti STB 38,Ganti STB 38,,Permintaan|INDIHOME IPTV|Ganti STB 38,INDIHOME IPTV|Ganti STB 38,FCR,Tenesa/Product,FCR,Tenesa/Product,true,SOLUTION
